original_title,overview,popularity,release_year,emotions,genre_name,overview_length,word_count,excalamation_count
American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",32.508,1999,uplifting,Drama,0.0,26.0,0.0
LaLehet Al HaMayim,"Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country, during which Axel challenges Eyal's values.",4.8,2004,uplifting,Drama,0.0,62.0,0.0
Billy Elliot,"Set against the background of the 1984 Miners' Strike, 11-year-old Billy Elliot stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes.",19.989,2000,intense,"Drama,Comedy,Music",0.0,45.0,0.0
Brokeback Mountain,"Two modern-day cowboys meet on a shepherding job in the summer of '63, the two share a raw and powerful summer together that turns into a lifelong relationship conflict",31.967,2005,uplifting,"Drama,Romance",0.0,29.0,0.0
Boys Don't Cry,A young transgender man explores his gender identity and searches for love in rural Nebraska.,12.26,1999,uplifting,"Crime,Drama",0.0,15.0,0.0
Desert Hearts,The story of straight-edge literature professor Vivian who travels to Reno to get away from a relationship breakup when she falls in love with an attractive and unconventional girl named Cay.,8.737,1985,uplifting,"Drama,Romance",0.0,31.0,0.0
Mambo Italiano,"When an Italian man comes out of the closet, it affects both his life and his crazy family.",4.966,2003,intense,"Comedy,Romance",0.0,18.0,0.0
Everything Is Illuminated,"A young Jewish American man endeavors—with the help of eccentric, distant relatives—to find the woman who saved his grandfather during World War II—in a Ukrainian village which was ultimately razed by the Nazis.",8.381,2005,uplifting,"Comedy,Drama",0.0,33.0,0.0
Sommersturm,"Tobi and Achim, the pride of the local crew club, have been the best of friends for years and are convinced that nothing will ever stand in the way of their friendship. They look forward to the upcoming summer camp and the crew competition. Then the gay team from Berlin arrives and Tobi is totally confused. The evening before the races begin, the storm that breaks out is more than meteorlogical...",9.686,2004,uplifting,"Comedy,Drama",0.0,71.0,0.0
Crustacés et coquillages,Crustacés et coquillages is a fresh French comedy film with numerous surprise turnarounds and about the tolerance of a family of four. The family spend an idealistic summer vacation together where each of the family members gets involved in a new or old relationship.,3.138,2005,uplifting,Comedy,0.0,44.0,0.0
Mala Noche,Mala Noche is the film debut from director Gus Van Sant. The film portrays the unanswered love of an American man toward a young Mexican man.,6.748,1986,uplifting,Drama,0.0,26.0,0.0
Basic Instinct,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,30.612,1992,intense,"Thriller,Mystery",0.0,16.0,0.0
Vom Suchen und Finden der Liebe,Director helmut Dietls and Patric Susskinds illustrate a legendary story of two lovers who cant keep themselves away from death.,2.349,2005,uplifting,"Comedy,Romance,Drama,Music",0.0,20.0,0.0
Bend It Like Beckham,"Jess Bhamra, the daughter of a strict Indian couple in London, is not permitted to play organized soccer, even though she is 18. When Jess is playing for fun one day, her impressive skills are seen by Jules Paxton, who then convinces Jess to play for her semi-pro team. Jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, Joe.",13.903,2002,uplifting,"Comedy,Drama,Romance",0.0,71.0,0.0
My Own Private Idaho,"In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters is a gay hustler afflicted with narcolepsy. Scott Favor is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.",14.927,1991,uplifting,"Drama,Adventure",0.0,71.0,0.0
Fire,"In a barren, arranged marriage to an amateur swami who seeks enlightenment through celibacy, Radha's life takes an irresistible turn when her beautiful young sister-in-law seeks to free herself from the confines of her own loveless marriage.",4.222,1997,uplifting,"Drama,Romance",0.0,37.0,0.0
D.E.B.S.,The star of a team of teenage crime fighters falls for the alluring villainess she must bring to justice.,16.528,2004,uplifting,"Action,Comedy,Romance",0.0,19.0,0.0
Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",25.701,1994,uplifting,"Horror,Drama,Fantasy",0.0,18.0,0.0
The Last Emperor,"A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.",17.641,1987,uplifting,"Drama,History",0.0,62.0,0.0
Dangerous Liaisons,"In 18th century France, Marquise de Merteuil asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things don’t go as planned.",8.568,1988,uplifting,"Drama,Romance",0.0,37.0,0.0
Mulholland Drive,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",24.616,2001,dark,"Thriller,Drama,Mystery",0.0,46.0,0.0
